id,lat,lon,user,uid,version,changeset,timestamp
386131,-33.4415548,-70.6423656,DoodleBob,4339485,4,41984301,2016-09-07T17:17:35Z
245053674,-33.4233944,-70.6504791,DoodleBob,4339485,8,42007603,2016-09-08T16:27:27Z
253282595,-33.4559948,-70.7204939,Blackemo,567282,2,10086085,2011-12-11T00:20:43Z
256384363,-33.6083466,-70.5062043,katpatuka,17497,14,857305,2009-01-31T06:35:39Z
264206513,-33.3364033,-70.544187,Julio_Costa_Zambelli,30854,1,434817,2008-05-13T09:18:39Z
265609699,-33.6089648,-70.7078297,Daeron,38239,7,3740260,2010-01-29T00:03:06Z
266729369,-33.5339925,-70.7892767,Julio_Costa_Zambelli,30854,1,521039,2008-05-25T06:07:47Z
267324875,-33.4616327,-70.5204417,Julio_Costa_Zambelli,30854,1,545877,2008-05-29T08:59:05Z
269080796,-33.5499281,-70.671531,Julio_Costa_Zambelli,30854,2,840390,2009-03-21T02:41:44Z
275536504,-33.3876751,-70.641353,Julio_Costa_Zambelli,30854,1,371693,2008-07-02T08:41:11Z
278614709,-33.4241817,-70.6996556,GeorgeWBush,4339167,3,42190468,2016-09-15T22:19:49Z
283296207,-33.2826322,-70.6525478,Julio_Costa_Zambelli,30854,4,678253,2008-09-22T05:52:19Z
288983379,-33.4330927,-70.7565728,Chilestreet,843439,2,32040765,2015-06-18T00:19:56Z
308857911,-33.4993241,-70.6925661,GeoCrazy,3693002,5,42110637,2016-09-12T20:51:10Z
314191080,-33.6098858,-70.4933842,Julio_Costa_Zambelli,30854,16,3424093,2009-12-22T00:15:51Z
338170797,-33.4168255,-70.566007,ALE!,40023,9,18395918,2013-10-17T01:39:33Z
370722387,-33.4867939,-70.4384466,Julio_Costa_Zambelli,30854,6,326910,2009-04-08T05:12:42Z
420893550,-33.5293365,-70.5794486,Te-Ika,3742941,4,42780431,2016-10-10T15:43:12Z
430603789,-33.3693637,-70.7900376,Julio_Costa_Zambelli,30854,1,1673570,2009-06-29T07:39:02Z
443438705,-33.221912,-70.6875358,Julio_Costa_Zambelli,30854,1,1866377,2009-07-18T19:32:59Z
457756055,-33.4952653,-70.5864231,JAAS,3321532,3,42647124,2016-10-05T03:58:51Z
474707048,-33.4190444,-70.6013206,felipeedwards,337684,4,15693995,2013-04-11T19:49:15Z
495925736,-33.2370418,-70.6722332,Julio_Costa_Zambelli,30854,3,28138558,2015-01-14T14:53:23Z
512785370,-33.4516011,-70.6514894,Julio_Costa_Zambelli,30854,1,2671339,2009-09-28T23:11:57Z
582537467,-33.4144402,-70.5980096,ALE!,40023,2,17580330,2013-08-29T22:06:10Z
605103889,-33.5767731,-70.6888582,Daeron,38239,2,3740260,2010-01-29T00:03:16Z
605183283,-33.4439564,-70.6030246,dintrans_g,237777,3,29089973,2015-02-25T12:19:47Z
616739373,-33.4096933,-70.5522976,ILikeTurtles512,3886711,3,42011276,2016-09-08T19:35:47Z
659654263,-33.4411446,-70.516153,miyabi,180468,1,4022220,2010-03-03T05:59:29Z
662806986,-33.6605325,-70.7990711,ALE!,40023,1,4070247,2010-03-08T10:36:00Z
677246305,-33.3679787,-70.703812,Julio_Costa_Zambelli,30854,1,4263603,2010-03-29T03:15:40Z
767522647,-33.4230895,-70.6137726,Julio_Costa_Zambelli,30854,1,4940779,2010-06-08T21:22:10Z
